sku,product_num,product_color,product_size,total_each_sku,product_unit_price,order_date,order_id
9001-Black-XL,9001,Black,XL,1,67,2016/01/01,2488
401-Black-XL,401,Black,XL,3,62,2016/01/01,2487
402-White-S,402,White,S,1,69,2016/01/01,2481
901-Black-M,901,Black,M,1,45,2016/01/01,2492
801-Black-M,801,Black,M,1,68,2017/01/01,3125
801-White-M,801,White,M,1,68,2017/01/01,3125
202-Navy-XS,202,Navy,XS,1,69,2013/01/01,1095
402-White-M,402,White,M,3,80,2019/01/01,3784
801-SlateGray-M,801,SlateGray,M,1,79,2019/01/01,3869
801-Black-M,801,Black,M,1,79,2019/01/01,3869
802-Black-M,802,Black,M,1,84,2019/01/01,3869
802-SlateGray-M,802,SlateGray,M,2,84,2019/01/01,3869
402-Black-M,402,Black,M,1,80,2019/01/01,3869
402-SlateGray-M,402,SlateGray,M,1,80,2019/01/01,3869
402-Ivory-M,402,Ivory,M,1,80,2019/01/01,3786
402-SlateGray-S,402,SlateGray,S,1,80,2019/01/01,3786
802-Black-S,802,Black,S,1,84,2019/01/01,3868
2000-Black-S,2000,Black,S,1,89,2019/01/01,3868
201-Black-S,201,Black,S,2,67,2018/01/01,3365
601-Black-S,601,Black,S,1,72,2018/01/01,3365
230-Black-S,230,Black,S,1,74,2018/01/01,3365
501-Black-S,501,Black,S,1,67,2017/01/01,2995
401-Natural-M,401,Natural,M,2,36.02,2017/01/01,2975
402-Navy-L,402,Navy,L,1,74,2016/01/01,2644
402-Black-M,402,Black,M,1,74,2016/01/01,2874
802-White-S,802,White,S,1,76,2016/01/01,2600
101-Natural-L,101,Natural,L,2,39,2016/01/01,2577
1041-Black-M,1041,Black,M,1,80,2017/01/01,3020
1050-White-XS,1050,White,XS,1,105,2018/01/01,3374
1050-Black-M,1050,Black,M,1,108.05,2016/01/01,2862
202-Black-XS,202,Black,XS,1,79.66,2017/01/01,2881
501-Natural-XS,501,Natural,XS,1,41.98,2017/01/01,2881
501-Navy-S,501,Navy,S,1,67,2017/01/01,3060
1001-White-L,1001,White,L,1,67,2016/01/01,2649
1001-Black-L,1001,Black,L,1,67,2016/01/01,2649
9001-White-XL,9001,White,XL,1,72,2016/01/01,2792
9001-White-L,9001,White,L,1,72,2016/01/01,2792
9001-Black-L,9001,Black,L,1,77.51,2016/01/01,2723
230-White-S,230,White,S,2,74,2017/01/01,2945
230-Black-M,230,Black,M,1,74,2017/01/01,3037
230-White-M,230,White,M,1,74,2017/01/01,3037
202-Natural-M,202,Natural,M,1,69,2017/01/01,2941
501-Black-XS,501,Black,XS,2,67,2017/01/01,2950
901-Navy-XS,901,Navy,XS,1,28,2017/01/01,2950
202-Natural-L,202,Natural,L,1,69,2016/01/01,2820
202-Black-L,202,Black,L,1,74,2016/01/01,2820
202-White-L,202,White,L,1,74,2016/01/01,2820
302-White-L,302,White,L,1,74,2016/01/01,2584
402-Black-L,402,Black,L,1,74,2016/01/01,2584
302-Black-M,302,Black,M,1,74,2016/01/01,2586
402-Black-M,402,Black,M,1,74,2016/01/01,2586
402-White-M,402,White,M,1,74,2016/01/01,2586
802-White-M,802,White,M,1,76,2017/01/01,2940
802-Black-M,802,Black,M,1,76,2017/01/01,2940
401-Black-M,401,Black,M,1,67,2017/01/01,3056
401-White-M,401,White,M,1,67,2017/01/01,3056
230-White-M,230,White,M,1,69,2017/01/01,3056
2001-Black-M,2001,Black,M,1,92,2016/01/01,2583
230-Black-M,230,Black,M,1,74,2016/01/01,2583
201-Black-L,201,Black,L,1,72.13,2017/01/01,3055
201-White-L,201,White,L,1,72.13,2017/01/01,3055
230-Black-L,230,Black,L,1,79.66,2017/01/01,3055
230-White-L,230,White,L,1,74.28,2017/01/01,3055
1040-Black-L,1040,Black,L,1,65,2017/01/01,2892
1050-Black-L,1050,Black,L,1,105,2017/01/01,2892
101-Natural-L,101,Natural,L,1,39,2017/01/01,2908
301-Black-L,301,Black,L,1,67,2017/01/01,2896
402-Black-L,402,Black,L,1,74,2017/01/01,2896
402-Navy-L,402,Navy,L,1,74,2017/01/01,2896
